model,pool,targets,mean_hits,expected,lift,cov3,cov3_exp,cov4,cov4_exp,cov5,cov5_exp,cov6,cov6_exp,dev_mean,conf_mean,p_full,p_dev,p_conf,p_full_holm
trend_20v20,20,129,3.1627906976744184,3.1578947368421053,1.0015503875968992,0.7441860465116279,0.7206037206037206,0.37209302325581395,0.38364338364338363,0.12403100775193798,0.11512811512811516,0.023255813953488372,0.01404001404001404,3.40625,2.923076923076923,0.49613236284509377,0.04513439410896461,0.9571438501789304,1.0
pair_last,6,129,0.9767441860465116,0.9473684210526315,1.0310077519379846,0.031007751937984496,0.03869806036988699,0.0,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.90625,1.0461538461538462,0.3608023036684453,0.6777899814664177,0.18752232330271518,1.0
pair_last,8,129,1.302325581395349,1.263157894736842,1.0310077519379846,0.11627906976744186,0.09400506614128905,0.007751937984496124,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.234375,1.3692307692307693,0.3310621164335384,0.6204823314171986,0.19579108938209083,1.0
pair_last,10,129,1.62015503875969,1.5789473684210527,1.0260981912144702,0.1937984496124031,0.17378538121572176,0.015503875968992248,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.5625,1.676923076923077,0.3347605796147604,0.5740203225761933,0.23298504591104888,1.0
pair_last,12,129,1.9767441860465116,1.894736842105263,1.04328165374677,0.31007751937984496,0.27326264787565097,0.06201550387596899,0.06606739424076885,0.0,0.007793729155958257,0.0,0.00033470002510250184,1.875,2.076923076923077,0.2006722786164411,0.5804806131414492,0.09256095215406172,1.0
pair_last,15,129,2.4031007751937983,2.3684210526315788,1.0146425495262705,0.4806201550387597,0.4438122332859174,0.13953488372093023,0.15192591972777728,0.023255813953488372,0.02683178534571723,0.0,0.001812958469305218,2.3125,2.4923076923076923,0.37599277314422574,0.6756903731727464,0.19981864364407143,1.0
pair_last,20,129,3.302325581395349,3.1578947368421053,1.0457364341085271,0.751937984496124,0.7206037206037206,0.4496124031007752,0.38364338364338363,0.13178294573643412,0.11512811512811516,0.015503875968992248,0.01404001404001404,3.296875,3.3076923076923075,0.08012263111693488,0.17810498678952025,0.1568546105038151,1.0
repeat_last,6,129,0.9302325581395349,0.9473684210526315,0.9819121447028424,0.023255813953488372,0.03869806036988699,0.0,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.84375,1.0153846153846153,0.6099755772740991,0.8589479263098476,0.27639464212975756,1.0
repeat_last,8,129,1.310077519379845,1.263157894736842,1.0371447028423775,0.06201550387596899,0.09400506614128905,0.007751937984496124,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.21875,1.4,0.2976416980016747,0.6708703330562831,0.131516649892644,1.0
repeat_last,10,129,1.6434108527131783,1.5789473684210527,1.040826873385013,0.15503875968992248,0.17378538121572176,0.031007751937984496,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.484375,1.8,0.24550833827299398,0.7922590404648943,0.04432366609585594,1.0
